Resource ID,Resource,Previous For groups,Reviewed For groups,Changed,Decision note
res-lions-gate,Lions Gate Recovery St. George dual-diagnosis addiction and mental-health treatment campus,People in recovery,People in recovery; People with serious illness,Yes,Named serious psychiatric conditions receive integrated treatment alongside SUD; a general mental-health category alone would be insufficient.
res-matr,MATR Behavioral Health Saint George Outpatient,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-na-southern-utah,Narcotics Anonymous of Southern Utah meetings,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-never-use-alone,Never Use Alone National Overdose Prevention Line,,People in recovery,Yes,Dedicated substance-use harm-reduction support; recovery label does not require abstinence.
res-new-season,New Season St. George Metro Treatment Center,People in recovery; Young adults; Pregnant & postpartum people,People in recovery; Pregnant & postpartum people,Yes,"Adults/young adults is broad adult eligibility, not a distinct young-adult track. Release coordination advice does not establish a dedicated reentry program."
res-utah-naloxone-next,Utah Naloxone and NEXT Distro Utah naloxone access,,People in recovery; People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-premier,"Premier Counseling Services outpatient mental-health, substance-use, and court-approved programs",People in recovery,People in recovery; People leaving incarceration,Yes,Domestic-violence prevention/treatment groups may serve offenders; no survivor-specific service is established here.
res-recovery-dharma,Recovery Dharma St. George meetings,,People in recovery,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-renaissance-ranch,Renaissance Ranch St. George men's drug and alcohol rehab,People in recovery; Men,People in recovery; Men,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-renaissance-recovery,Renaissance Recovery St. George outpatient,People in recovery; Young adults,People in recovery,Yes,"General adult service, with no dedicated young-adult track. Court-directory listing alone is not a confirmed justice-specific service."
res-sobriety-foundation,Sobriety Foundation recovery housing assistance,People in recovery,People in recovery; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-soulegria,Soulegria young-adult substance-use and co-occurring treatment,People in recovery; Young adults,People in recovery; Young adults,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-celebrate-recovery,South Mountain Community Church Celebrate Recovery - St. George,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sbhc-crisis,"Southwest Behavioral Health Center crisis support, MCOT, and Crisis Stabilization Center",People in recovery; Families with children; Children & teens,People in recovery; Families with children; Children & teens,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sbhc-desert-haven,Southwest Behavioral Health Center Desert Haven,People in recovery; Children & teens; Pregnant & postpartum people; Women,People in recovery; Families with children; Children & teens; Pregnant & postpartum people; Women,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sbhc-horizon,Southwest Behavioral Health Center Horizon House Residential Treatment,People in recovery,People in recovery,No,Gender-specific is stated but particular genders/tracks are not established in the saved record.
res-sbhc-outpatient,Southwest Behavioral Health Center Washington County outpatient substance-use treatment,People in recovery; Children & teens; Pregnant & postpartum people; Women,People in recovery; Families with children; Children & teens; Pregnant & postpartum people; Women,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-stable-environment,Stable Environment sober living and addiction supports,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-steps,"Steps Recovery Centers St. George residential, outpatient, veteran-focused substance-use, and integrated mental-health rehab",People in recovery; Veterans & military families,People in recovery; Veterans & military families,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sunrise,Sunrise Residential Treatment Center co-occurring substance-use track,People in recovery; Children & teens,People in recovery; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-lds-arp,Healing Through the Savior Addiction Recovery Program - St. George area,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-therapy-associates,"Therapy Associates outpatient counseling, youth day treatment, assessments, and substance-use services",People in recovery; Families with children; Children & teens,People in recovery; Families with children; Children & teens,No,Foster Care Medicaid billing alone does not establish a foster/kinship-specific program.
res-true-north,"True North Recovery and Wellness Center St. George OTP, MAT, IOP, and court-related assessments",People in recovery; Pregnant & postpartum people,People in recovery; People leaving incarceration,Yes,Pregnancy-specific access appears only as an item to confirm; no established pregnancy pathway is described.
res-turningleaf-next-step,TurningLeaf Health & Wellness The Next Step group,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-va-clinic,"St. George VA Clinic primary care, mental-health, social-work, enrollment, same-day minor care, and veteran support access",Veterans & military families; People experiencing homelessness; Caregivers,Veterans & military families; Seniors; People with disabilities; Deaf & hard of hearing; People experiencing homelessness; People leaving incarceration; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-vet-center,"Saint George Vet Center confidential counseling, transition, referral support, and veteran document navigation",People in recovery; Veterans & military families,People in recovery; Veterans & military families; Abuse & violence survivors,Yes,Military sexual trauma counseling is explicit eligibility; general family eligibility does not establish minor children.
res-superad,University of Utah Health SUPeRAD Clinic,People in recovery; Pregnant & postpartum people,People in recovery; Pregnant & postpartum people; People leaving incarceration; Uninsured & underinsured,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-warm-line,Utah Warm Line,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-poison-control,Utah Poison Control Center,,,No,"General poison/overdose advice, not a population-specific substance-use recovery program."
res-upper-mesa,Upper Mesa Recovery,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-usara-stgeorge,USARA St. George Recovery Community Center,People in recovery,People in recovery; People experiencing homelessness; People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-uphp,Utah Professionals Health Program,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-udc-trc,Utah Department of Corrections Region 5 Treatment Resource Center,People leaving incarceration,People leaving incarceration,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-jjys-youth-services,Utah JJYS Washington County Youth Crisis/Youth Services,People in recovery; Children & teens,People in recovery; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-way-to-quit,Way to Quit / Utah Tobacco Quit Line,Spanish-speaking people,People in recovery; Families with children; Children & teens; Young adults; Spanish-speaking people,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-courts-drug-family,Utah State Courts Fifth District St. George recovery and family dependency drug courts,People in recovery,People in recovery; Families with children; People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-booth-wellness,"Utah Tech University Booth Wellness Center medical, mental-health, and forensic-exam access",Students,Families with children; Children & teens; Abuse & violence survivors; Students,Yes,Keep forensic-exam eligibility caveat; the survivor pathway is listed separately from ordinary student clinic access.
res-purgatory-sud,Purgatory Correctional Facility in-custody SUD/OUD treatment pathway,People in recovery; People leaving incarceration,People in recovery; People leaving incarceration,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-court-support,Washington County Court Support Services,,People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wellbriety,Wellbriety Southern Utah Sacred Fire Meeting,,People in recovery,Yes,Saved evidence does not explicitly identify a Native/tribal population; do not infer identity from an organization name.
res-zion-healing,Zion Healing Center St. George IOP,People in recovery; Veterans & military families,People in recovery; Veterans & military families,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-hand-in-hand-stgeorge,Hand in Hand Support Services — Washington County mobile harm reduction,,People in recovery,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-abs-kids-st-george-aba,ABS Kids St. George ABA Therapy and Autism Diagnosis Services,Families with children; Children & teens; People with disabilities,Families with children; Children & teens; People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-assistance-league-southern-utah-school-bell,Assistance League of Southern Utah Operation School Bell,Children & teens,Families with children; Children & teens; Low-income households; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-bbbsu-st-george-mentoring,Big Brothers Big Sisters of Utah St. George community-based mentoring,Families with children; Children & teens,Families with children; Children & teens,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-bgcutah-washington-county,Boys & Girls Clubs of Utah County/Southern Utah Washington County school-site programs,Children & teens,Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-breathe-care-essential-supplies,BREATHE CARE Food and Essential Supplies Intake,Families with children; People experiencing homelessness,Families with children; Children & teens; People experiencing homelessness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-bridgeway-st-george-children,Bridgeway Integrated Healthcare Services St. George Center,Families with children; Children & teens; People with disabilities; Spanish-speaking people,Families with children; Children & teens; People with disabilities; Spanish-speaking people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-bright-morning-star-day-care,Bright Morning Star Day Care St. George childcare accepting DWS subsidies,Families with children; Spanish-speaking people,Families with children; Children & teens; Spanish-speaking people; Low-income households,Yes,"This record specifically identifies a subsidy-access child-care pathway, rather than incidental insurer acceptance."
res-care-about-childcare-five-county,Care About Childcare - Five County Child Care Resource Agency,Families with children; Caregivers,Families with children; Caregivers,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-cherish-families-wraparound,Cherish Families wraparound support for families from polygamous and high-control backgrounds,Families with children,Families with children; Abuse & violence survivors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-css-grandfamilies-st-george,Children's Service Society of Utah GRANDfamilies - Washington County/St. George,Families with children; Children & teens; Foster & kinship families,Seniors; Families with children; Children & teens; Caregivers; Foster & kinship families,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-chrysalis-st-george,"Chrysalis Utah St. George disability, behavioral-health, residential, and employment supports",People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-comunidad-materna-semillas,Comunidad Materna en Utah Semillas para la Maternidad,Pregnant & postpartum people; Spanish-speaking people,Families with children; Children & teens; Pregnant & postpartum people; Women; Spanish-speaking people,Yes,Infant-feeding support is child/family service; maternal support is explicitly described.
res-disability-law-center-utah,"Disability Law Center Utah disability-rights, housing-access, CAP, and abuse/neglect legal advocacy",People with disabilities,People with disabilities; Abuse & violence survivors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-doctors-volunteer-clinic,"Doctors' Volunteer Clinic of St. George safety-net medical, dental, specialty, mental-health, and forensic-exam access",Women; Low-income households; Uninsured & underinsured,Women; Abuse & violence survivors; Low-income households; Uninsured & underinsured,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-dove-center-family-services,DOVE Center domestic-violence and sexual-assault services,Children & teens; Abuse & violence survivors,Families with children; Children & teens; People experiencing homelessness; Abuse & violence survivors,Yes,Survivor-only emergency housing pathway; not a general homeless shelter.
res-dove-center-transitional-housing,DOVE Center survivor shelter and housing pathway,Children & teens; Abuse & violence survivors,Families with children; Children & teens; People experiencing homelessness; Abuse & violence survivors,Yes,"Targeted housing-crisis support for survivors and children, rather than generic housing access."
res-family-healthcare-women-children-integrated-care,"Family Healthcare integrated medical, dental, vision, pharmacy, reproductive, behavioral-health, and forensic-exam access",Pregnant & postpartum people; Low-income households; Uninsured & underinsured,Families with children; Children & teens; Pregnant & postpartum people; Abuse & violence survivors; Low-income households; Uninsured & underinsured,Yes,Bilingual is not enough to name Spanish without explicit language evidence.
res-family-support-center-washington-county-crisis-respite-parenting,"Family Support Center of Washington County crisis nursery, crisis shelter care, respite, and parenting education",Families with children; Children & teens; Caregivers,Families with children; Children & teens; Caregivers,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-five-county-cap-diaper-family-support,Five County AOG Community Action Partnership diaper and family stabilization assistance,Families with children; Low-income households,Families with children; Children & teens; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-forever-bound-adoption-options-counseling,Forever Bound Adoption expectant-parent options counseling and support,Families with children; Pregnant & postpartum people,Families with children; Pregnant & postpartum people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-forever-ours-pregnancy-infant-loss-support,Forever Ours Foundation pregnancy and infant loss support,Pregnant & postpartum people,Families with children; Pregnant & postpartum people,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-fourpoints-st-george-family-health,FourPoints Health St. George and Shivwits community clinics,Women; Native & tribal communities; Low-income households,Women; Native & tribal communities; Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-help-me-grow-utah-developmental-parent-support,Help Me Grow Utah developmental screening and parent support,Families with children; Children & teens; Pregnant & postpartum people; Caregivers,Families with children; Children & teens; Pregnant & postpartum people; Caregivers,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-stgeorge-childbirth-education,Intermountain Health St. George Regional Hospital childbirth education and birth preparation,Families with children; Pregnant & postpartum people,Families with children; Pregnant & postpartum people; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-stgeorge-high-risk-ob-mfm,Intermountain Health St. George Regional Hospital High-risk OB and Maternal Fetal Medicine,Pregnant & postpartum people,Pregnant & postpartum people; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-stgeorge-lactation-clinic,Intermountain Health St. George Regional Hospital Lactation Clinic,Families with children,Families with children; Children & teens; Pregnant & postpartum people,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-stgeorge-nicu,Intermountain Health St. George Regional Hospital NICU,Children & teens; Families with children,Families with children; Children & teens; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-stgeorge-pediatric-rehab,Intermountain Health St. George Regional Hospital Pediatric Physical Medicine and Rehab,Children & teens,Families with children; Children & teens; People with disabilities; Deaf & hard of hearing,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-stgeorge-womens-health-obgyn,Intermountain Health St. George Women's Health OB-GYN Clinic,Pregnant & postpartum people; Women,Pregnant & postpartum people; Women,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-angel-watch,Intermountain Health Angel Watch perinatal palliative support,,Families with children; Children & teens; Pregnant & postpartum people; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-stgeorge-simply-birth,Intermountain Health St. George Regional Hospital Simply Birth low-intervention birth program,Pregnant & postpartum people,Families with children; Pregnant & postpartum people,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-primary-childrens-stgeorge-outpatient,Primary Children's Outpatient Services - St. George,Children & teens,Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-stgeorge-labor-delivery-women-newborn,Intermountain Health St. George Regional Hospital Labor and Delivery / Women and Newborn,Pregnant & postpartum people; Women,Families with children; Children & teens; Pregnant & postpartum people; Women,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-kids-corner-day-care-dws,Kids Corner Day Care St. George child care accepting DWS subsidies,Families with children; Spanish-speaking people,Families with children; Children & teens; Spanish-speaking people; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-kony-coins-for-kids-christmas-assistance,KONY Coins for Kids Christmas Assistance for Washington County children,Children & teens,Families with children; Children & teens; Low-income households; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-kool-kidz-world-dws,Kool Kidz World St. George child care accepting DWS subsidies,Families with children; Spanish-speaking people,Families with children; Children & teens; Spanish-speaking people; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-larks-nest-doula,Lark's Nest Doula Medicaid and private doula support for Southern Utah families,Pregnant & postpartum people,Families with children; Children & teens; Pregnant & postpartum people; Low-income households; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-lds-family-services-stgeorge-pregnancy-counseling,"Church Family Services St. George short-term counseling, group therapy, and pregnancy counseling",Pregnant & postpartum people,Pregnant & postpartum people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-life-after-placement-birth-mother-support,Life After Placement birth-mother post-placement support,Women,Families with children; Women,Yes,"Parent-role support; not foster/adoption-from-care specifically, and no defined postpartum time window."
res-marys-hope-house-maternity-home,Mary's Hope House maternity home for single mothers,Pregnant & postpartum people,Families with children; Pregnant & postpartum people; Women; People experiencing homelessness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-millcreek-high-student-parent-childcare,Millcreek High School student-parent child care pathway,Families with children,Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-mothertobaby-exposure-information,MotherToBaby pregnancy and breastfeeding exposure information service,Families with children; Pregnant & postpartum people; Spanish-speaking people,Families with children; Pregnant & postpartum people; Spanish-speaking people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-nami-utah-southwest-family-support,NAMI Utah Southwest education and peer/family support,Caregivers,Caregivers,No,Adults with mental-health conditions and family support are explicit; the saved record does not establish disability/serious-illness eligibility specifically.
res-neighborhood-connection-pantry-packs,Neighborhood Connection Pantry Packs,Children & teens,Families with children; Children & teens; Students,Yes,Food need and school-meal participation are explicit; an income threshold or free/reduced meal eligibility is not specified.
res-nurse-family-partnership-washington-county,Nurse-Family Partnership Washington County service area,Pregnant & postpartum people; Low-income households,Families with children; Children & teens; Pregnant & postpartum people; Women; Low-income households; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-pitu-family-services-child-care-crisis,Paiute Indian Tribe of Utah Family Services and FourPoints family support,Families with children; Native & tribal communities,Seniors; Families with children; Children & teens; Native & tribal communities; Abuse & violence survivors; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-pitu-puowwan-family-youth-wraparound,Paiute Indian Tribe of Utah Puow'wan Program family and youth wraparound,Children & teens; Native & tribal communities,Families with children; Children & teens; Native & tribal communities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-petersen-home-medical-breast-pump-equipment,Petersen Home Medical breast-pump and lactation-equipment access,Families with children,Families with children; Children & teens; Pregnant & postpartum people,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-pine-view-high-teen-center,Washington County School District high school Teen Centers,Students,Families with children; Children & teens; People experiencing homelessness; Students,Yes,School basic-needs access includes the documented housing-unstable student route; general financial circumstances do not create income eligibility.
res-planned-parenthood-utah-virtual-health-center,Planned Parenthood Association of Utah Virtual Health Center,Pregnant & postpartum people,,Yes,"Telehealth contraception/STI and reproductive-health services; pregnancy or minor access appears only as an item to ask about, not an established prenatal/postpartum or youth program."
res-possibilities-aba-st-george,Possibilities ABA St. George autism diagnosis and ABA therapy,Children & teens; People with disabilities,Families with children; Children & teens; Young adults; People with disabilities,Yes,"Age-limited pediatric/youth disability pathway explicitly extends to transition-age adults, rather than unrestricted adult treatment."
res-postpartum-support-international-online-utah-support,Postpartum Support International online and Utah perinatal mental-health support,Veterans & military families; Pregnant & postpartum people; Spanish-speaking people,Veterans & military families; Families with children; Pregnant & postpartum people; Men; Spanish-speaking people,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-prevent-child-abuse-utah-parents-as-teachers-washington-county,Prevent Child Abuse Utah Parents as Teachers Washington County Pilot Project,Families with children; Children & teens; Pregnant & postpartum people,Families with children; Children & teens; Pregnant & postpartum people; Low-income households; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-root-for-kids-early-head-start,Root for Kids Early Head Start,Families with children; Children & teens; Pregnant & postpartum people; Women; Spanish-speaking people,Families with children; Children & teens; Pregnant & postpartum people; Women; Men; Spanish-speaking people; Low-income households; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-root-for-kids-early-intervention-baby-watch,Root for Kids Early Intervention / Baby Watch local provider,Children & teens; People with disabilities,Families with children; Children & teens; People with disabilities; Deaf & hard of hearing; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-red-rock-center-independence-youth-disability-supports,"Red Rock Center for Independence independent living, disability supports, and limited activity transportation",Children & teens; People with disabilities; Blind & low vision,Seniors; Families with children; Children & teens; Young adults; People with disabilities; Blind & low vision,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-rise-services-st-george-child-youth-disability-supports,"RISE Services St. George child, adult, and aging-adult disability supports",Families with children; Children & teens; People with disabilities; Caregivers,Seniors; Families with children; Children & teens; Young adults; People with disabilities; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ronald-mcdonald-house-mountain-west-slc,Ronald McDonald House Mountain West Salt Lake City lodging and Family Rooms,Families with children; Caregivers,Families with children; Children & teens; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-saint-george-catholic-our-mothers-food-pantry,Saint George Catholic Church Our Mother's Food Pantry,,,No,Broad pantry eligibility; kid-friendly snacks alone do not establish a distinct population pathway.
res-share-families-southern-utah-pregnancy-infant-loss,Share Families of Southern Utah pregnancy and infant loss support,Pregnant & postpartum people,Families with children; Pregnant & postpartum people,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-shriners-childrens-salt-lake-city-specialty-care,Shriners Children's Salt Lake City pediatric specialty care,Children & teens; People with disabilities,Families with children; Children & teens; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
