Category,Review priority,Resource,Reason,Question to resolve,Resource ID
Addiction,Additional options,Compass Counseling St. George,"Keep as a further option after establishing the starting routes in Addiction: Private outpatient counseling practice focused on trauma, addiction recovery, and mental health.",,res-compass-counseling
Addiction,Additional options,Counseling for Success Inc.,Keep as a further option after establishing the starting routes in Addiction: Independent St. George outpatient SUD/court-linked counseling provider identified in court and treatment listings.,,res-counseling-success
Addiction,Important specialized help,"Creek Valley Health Clinic primary, dental, behavioral health, and MAT access","Review for this particular program or eligibility pathway: Short Creek border-community clinic offering primary care, dental care, mental health, physical therapy, MAT/substance-use care, pharmacy-discount access, same-day/walk-in urgent needs, and a 24/7 nurse line.",,res-creek-valley
Addiction,Important specialized help,Crystal Meth Anonymous Utah Area - St. George meetings,Review for this particular program or eligibility pathway: Crystal Meth Anonymous Utah Area meeting access in St. George.,,res-cma-utah
Addiction,Additional options,Desert Solace substance-abuse treatment,Keep as a further option after establishing the starting routes in Addiction: Residential and outpatient program advertising drug and alcohol treatment along with behavioral addictions.,,res-desert-solace
Addiction,Additional options,Dixie Alano Club recovery meeting facility,"Keep as a further option after establishing the starting routes in Addiction: Recovery clubhouse in St. George hosting many weekly AA, NA, Al-Anon, CMA, and other 12-step or recovery meetings.",,res-dixie-alano
Addiction,Important specialized help,Eagle Ranch Academy teen substance abuse residential treatment,Review for this particular program or eligibility pathway: Private adolescent residential treatment program advertising teen substance-abuse/co-occurring care.,,res-eagle-ranch-academy
Addiction,Additional options,Eagle Ranch Outpatient Services,Keep as a further option after establishing the starting routes in Addiction: Outpatient SUD treatment and IOP for adults and adolescents ages 12-17.,,res-eagle-ranch-outpatient
Addiction,Start here,Family Healthcare medication-assisted treatment,Establish a local medication-treatment pathway linked to primary care; it adds an access option beyond counseling-only programs.,,res-family-healthcare-mat
Addiction,Additional options,FourPoints Health St. George behavioral health and substance-use services,"Keep as a further option after establishing the starting routes in Addiction: Tribal/community health center providing mental-health and substance-use assessments, outpatient/IOP counseling, recovery classes, 12-step/Red Road supports, and sliding-fee behavioral health in St. George.",,res-fourpoints
Addiction,Additional options,Gold Counseling St. George substance-abuse support,Keep as a further option after establishing the starting routes in Addiction: Outpatient counseling practice with published substance-abuse/addiction therapy pages and St. George office listing.,,res-gold-counseling
Addiction,Additional options,Helping Hearts Recovery,"Keep as a further option after establishing the starting routes in Addiction: Local addiction recovery provider offering assessment/evaluation, IOP, and Prime For Life classes.",,res-helping-hearts
Addiction,Start here,"High Desert Counseling outpatient addiction, co-occurring mental-health, and harm-reduction treatment",Review its combination of outpatient treatment and harm reduction early; determine which services are accessible without enrolling in the full program.,,res-high-desert
Addiction,Start here,Hope Rising Detox & Rehabilitation Southern Utah continuum,Clarify the withdrawal-care entry point before routine referrals; level of care and medical clearance need confirmation.,"Who screens for withdrawal care, what medical clearance is required, and what should someone do if you cannot admit them?",res-hope-rising
Addiction,Important specialized help,Intermountain Health COMPASS Program - Washington County,"Review for this particular program or eligibility pathway: Government-funded opioid-use-disorder program offering medications, telehealth provider visits, no-cost peer recovery coaching, and social work linkage; Washington County is listed as a partner county.",,res-intermountain-compass
Addiction,Start here,St. George Regional Hospital Behavioral Health Access Center,"Clarify the hospital behavioral-health assessment route, including adult age limits and when another emergency pathway is needed.",,res-intermountain-access-center
Addiction,Additional options,Jacky's Recovery Support Services - St. George contact,"Keep as a further option after establishing the starting routes in Addiction: Culturally responsive English/Spanish recovery support, peer mentorship, therapy, groups, and family services with a St. George contact number.",,res-jackys-recovery
Addiction,Important specialized help,Liahona Academy adolescent boys residential mental-health and co-occurring substance-use support,"Review for this particular program or eligibility pathway: Residential mental-health treatment for adolescent boys in Hurricane, with support for co-occurring substance-use problems; the provider states it is not licensed as a substance-abuse treatment center and does not provide detox.",,res-liahona
Addiction,Additional options,Lions Gate Recovery St. George dual-diagnosis addiction and mental-health treatment campus,"Keep as a further option after establishing the starting routes in Addiction: Southern Utah addiction and dual-diagnosis treatment continuum with St. George PHP/IOP, Toquerville residential care, and integrated mental-health treatment for co-occurring conditions.",,res-lions-gate
Addiction,Additional options,MATR Behavioral Health Saint George Outpatient,"Keep as a further option after establishing the starting routes in Addiction: St. George outpatient SUD program listed in SAMHSA-style directories for day treatment/PHP, IOP, and outpatient treatment.",,res-matr
Addiction,Start here,Narcotics Anonymous of Southern Utah meetings,Establish a local drug-recovery mutual-aid meeting route alongside the alcohol-specific option.,,res-na-southern-utah
Addiction,Start here,Never Use Alone National Overdose Prevention Line,"Review this overdose-prevention connection early because the service addresses a high-consequence safety gap, despite being national.",,res-never-use-alone
Addiction,Start here,New Season St. George Metro Treatment Center,Establish the local opioid treatment program intake and medication access route; this differs from general outpatient counseling.,,res-new-season
Addiction,Start here,Utah Naloxone and NEXT Distro Utah naloxone access,Confirm how someone can obtain naloxone; overdose prevention should be understood before routine treatment alternatives.,,res-utah-naloxone-next
Addiction,Additional options,"Premier Counseling Services outpatient mental-health, substance-use, and court-approved programs","Keep as a further option after establishing the starting routes in Addiction: State-licensed, court-approved St. George provider offering outpatient substance-use treatment, domestic-violence programming, assessments, case-management elements, and mental-health services.",,res-premier
Addiction,Additional options,Recovery Dharma St. George meetings,"Keep as a further option after establishing the starting routes in Addiction: Buddhist-inspired, mindfulness-based peer recovery meetings in St. George.",,res-recovery-dharma
Addiction,Additional options,Renaissance Ranch St. George men's drug and alcohol rehab,"Keep as a further option after establishing the starting routes in Addiction: Men's residential and outpatient/IOP drug and alcohol treatment in St. George, with Medicaid and insurance verification and treatment-linked residential care.",,res-renaissance-ranch
Addiction,Additional options,Renaissance Recovery St. George outpatient,Keep as a further option after establishing the starting routes in Addiction: Distinct St. George outpatient/day treatment/IOP provider listed on court referral materials and treatment directories.,,res-renaissance-recovery
Addiction,Important specialized help,Sobriety Foundation recovery housing assistance,Review for this particular program or eligibility pathway: Narrow financial-assistance program for sober living expenses after successful inpatient alcohol/drug treatment.,,res-sobriety-foundation
Addiction,Important specialized help,Soulegria young-adult substance-use and co-occurring treatment,"Review for this particular program or eligibility pathway: Young-adult therapeutic treatment program in Washington County with substance-abuse, drug rehab, IOP, life-skills, coaching, and sober-living assistance content.",,res-soulegria
Addiction,Additional options,South Mountain Community Church Celebrate Recovery - St. George,Keep as a further option after establishing the starting routes in Addiction: Faith-based Celebrate Recovery peer support group at South Mountain Community Church St. George campus.,,res-celebrate-recovery
Addiction,Start here,"Southwest Behavioral Health Center crisis support, MCOT, and Crisis Stabilization Center","Establish the crisis, mobile-response and stabilization entry points before reviewing routine treatment options.",,res-sbhc-crisis
Addiction,Important specialized help,Southwest Behavioral Health Center Desert Haven,"Review for this particular program or eligibility pathway: Residential support facility for adult women in substance-use treatment and their young children, linked to SBHC St. George day treatment.",,res-sbhc-desert-haven
Addiction,Important specialized help,Southwest Behavioral Health Center Horizon House Residential Treatment,Review for this particular program or eligibility pathway: SBHC gender-specific licensed 45+ day residential substance-use treatment program serving the five southwest Utah counties.,,res-sbhc-horizon
Addiction,Start here,Southwest Behavioral Health Center Washington County outpatient substance-use treatment,"Review the public outpatient substance-use intake early to understand assessment, eligibility and payment routes.",,res-sbhc-outpatient
Addiction,Additional options,Stable Environment sober living and addiction supports,"Keep as a further option after establishing the starting routes in Addiction: Sober living homes and related addiction counseling/equine therapy services with published rules, rent, and resident-governance model.",,res-stable-environment
Addiction,Important specialized help,"Steps Recovery Centers St. George residential, outpatient, veteran-focused substance-use, and integrated mental-health rehab","Review for this particular program or eligibility pathway: St. George addiction recovery continuum with residential and outpatient/IOP levels of care, veteran-focused substance-use programming, and integrated mental-health work for co-occurring trauma, anxiety, depression, grief, and….",,res-steps
Addiction,Important specialized help,Sunrise Residential Treatment Center co-occurring substance-use track,Review for this particular program or eligibility pathway: Adolescent residential DBT/mental-health program with co-occurring substance-use/addiction track indicators.,,res-sunrise
Addiction,Additional options,Healing Through the Savior Addiction Recovery Program - St. George area,Keep as a further option after establishing the starting routes in Addiction: No-cost faith-based addiction recovery and spouse/family support meetings through The Church of Jesus Christ of Latter-day Saints.,,res-lds-arp
Addiction,Additional options,"Therapy Associates outpatient counseling, youth day treatment, assessments, and substance-use services","Keep as a further option after establishing the starting routes in Addiction: St. George outpatient counseling provider offering youth and family mental-health treatment, substance-use services, assessments, groups, day treatment, and Medicaid/SBHC-contracted billing pathways.",,res-therapy-associates
Addiction,Additional options,"True North Recovery and Wellness Center St. George OTP, MAT, IOP, and court-related assessments","Keep as a further option after establishing the starting routes in Addiction: CARF-accredited St. George outpatient opioid treatment program with methadone, buprenorphine/Suboxone/Sublocade, naltrexone/Vivitrol, counseling, IOP, outpatient treatment, drug/alcohol assessments, and support for people….",,res-true-north
Addiction,Additional options,TurningLeaf Health & Wellness The Next Step group,"Keep as a further option after establishing the starting routes in Addiction: Weekly self-help support group open to people facing addiction, grief, anxiety, or major life transitions.",,res-turningleaf-next-step
Addiction,Important specialized help,"St. George VA Clinic primary care, mental-health, social-work, enrollment, same-day minor care, and veteran support access","Review for this particular program or eligibility pathway: VA community clinic in St. George providing eligible veterans with local primary care, mental-health care, audiology, labs, telehealth, social work, enrollment/registration routing, same-day minor-condition access, and referrals….",,res-va-clinic
Addiction,Important specialized help,"Saint George Vet Center confidential counseling, transition, referral support, and veteran document navigation","Review for this particular program or eligibility pathway: Free confidential Vet Center counseling, transition support, substance-use referral, crisis same-day response, career/education linkage, VA/community-resource connection, and limited eligibility/document navigation for veterans….",,res-vet-center
Addiction,Important specialized help,University of Utah Health SUPeRAD Clinic,"Review for this particular program or eligibility pathway: Specialty pregnancy and substance-use-disorder clinic providing integrated prenatal, addiction, counseling, inpatient/outpatient, and postpartum care through one year.",,res-superad
Addiction,Additional options,Utah Warm Line,"Keep as a further option after establishing the starting routes in Addiction: Statewide Utah peer support warm line staffed by certified peer support specialists, used for non-crisis mental health/substance-use recovery support.",,res-utah-warm-line
Addiction,Important specialized help,Utah Poison Control Center,"Review for this particular program or eligibility pathway: Free, private 24-hour poison and overdose consultation line for Utah, including medication/drug poisoning questions.",,res-poison-control
Addiction,Additional options,Upper Mesa Recovery,"Keep as a further option after establishing the starting routes in Addiction: Residential rehab in Hildale specializing in substance-use treatment, trauma-informed care, co-occurring mental health, and holistic recovery.",,res-upper-mesa
Addiction,Start here,USARA St. George Recovery Community Center,Establish the local recovery community center as an initial peer-support and navigation connection.,,res-usara-stgeorge
Addiction,Important specialized help,Utah Professionals Health Program,"Review for this particular program or eligibility pathway: Confidential monitoring, advocacy, consultation, and referral support for Utah health professionals with substance use, mental health, burnout, or related impairing conditions.",,res-uphp
Addiction,Important specialized help,Utah Department of Corrections Region 5 Treatment Resource Center,"Review for this particular program or eligibility pathway: Adult Probation and Parole Region 5 Treatment Resource Center offering justice-system-specific programming, case management, employment class, counseling/evaluation access, re-entry programming, and housing-resource navigation….",,res-udc-trc
Addiction,Start here,Utah JJYS Washington County Youth Crisis/Youth Services,Establish the youth crisis and family access route early rather than relying on adult services.,,res-jjys-youth-services
Addiction,Start here,Way to Quit / Utah Tobacco Quit Line,Establish the tobacco-cessation route; it addresses a distinct need from alcohol and other drug treatment.,,res-way-to-quit
Addiction,Important specialized help,Utah State Courts Fifth District St. George recovery and family dependency drug courts,Review for this particular program or eligibility pathway: Fifth District Court St. George adult drug/recovery court and juvenile family dependency drug court locations integrating substance-use treatment with court supervision.,,res-utah-courts-drug-family
Addiction,Additional options,"Utah Tech University Booth Wellness Center medical, mental-health, and forensic-exam access","Keep as a further option after establishing the starting routes in Addiction: Student wellness clinic offering current Utah Tech students confidential medical care, brief mental-health care, alcohol/other-drug education and referral, and a St. George Police-listed local medical-forensic exam access site….",,res-booth-wellness
Addiction,Important specialized help,Purgatory Correctional Facility in-custody SUD/OUD treatment pathway,Review for this particular program or eligibility pathway: Limited-access jail-based addiction/withdrawal/OUD medical housing and RSAT/reentry pathway for people incarcerated in Washington County.,,res-purgatory-sud
Addiction,Important specialized help,Washington County Court Support Services,"Review for this particular program or eligibility pathway: Washington County court-linked criminal-justice support office providing pretrial monitoring/services and post-trial case management for barriers including treatment, housing, transportation, employment….",,res-court-support
Addiction,Important specialized help,Wellbriety Southern Utah Sacred Fire Meeting,Review for this particular program or eligibility pathway: Culturally rooted Wellbriety / White Bison peer recovery meeting hosted at USARA St. George and listed as open to all.,,res-wellbriety
Addiction,Additional options,Zion Healing Center St. George IOP,"Keep as a further option after establishing the starting routes in Addiction: St. George intensive outpatient addiction and mental health program offering individual/group counseling, relapse prevention, TMS, neurofeedback, and affiliated inpatient care in New Harmony for sponsored veterans.",,res-zion-healing
Addiction,Start here,Hand in Hand Support Services — Washington County mobile harm reduction,Review the mobile harm-reduction route early because it can reach people outside office-based treatment.,,res-hand-in-hand-stgeorge
Addiction,Additional options,"Southwest Behavioral Health Center Washington County behavioral health, case management, Medicaid coordination, transportation help, and ID fee-waiver verification access","Keep as a further option after establishing the starting routes in Addiction: Public community behavioral-health outpatient access point for adults, youth, and families in southwest Utah, including mental-health treatment, psychiatry/medical services, case management, Medicaid behavioral-health….",,res-sbhc-children-family-outpatient
Addiction,Additional options,John Volken Academy Utah residential vocational recovery school,"Keep as a further option after establishing the starting routes in Addiction: Long-term men's residential vocational recovery school in North Salt Lake with a multi-year therapeutic community, education, work, and recovery environment.",,res-john-volken-academy-utah
Addiction,Additional options,The Other Side Academy Utah residential reentry and therapeutic community,"Keep as a further option after establishing the starting routes in Addiction: Free long-term residential therapeutic community in Salt Lake City for people seeking major behavior change after incarceration, addiction, homelessness, or related instability, with work, life-skills, and vocational structure.",,res-other-side-academy-utah-reentry
Addiction,Important specialized help,Utah Medicaid Justice-Involved Program,"Review for this particular program or eligibility pathway: Utah Medicaid 1115 reentry benefit providing targeted Medicaid-covered services for eligible inmates in state prisons, county jails, or juvenile justice facilities for up to 90 days before release.",,res-utah-medicaid-justice-involved-program
Addiction,Additional options,Purgatory Correctional Facility Programming Unit / volunteer-assisted inmate programs,"Keep as a further option after establishing the starting routes in Addiction: In-custody Purgatory Correctional Facility programming access point using volunteer-assisted inmate programs such as mental-health, medical, religious, legal-assistance, library, tutoring, recreation, exercise, and treatment….",,res-purgatory-correctional-facility-programming-unit
Addiction,Important specialized help,VA Salt Lake City Addiction Treatment Services / SOAR and SARRTP,"Review for this particular program or eligibility pathway: VA Salt Lake City addiction-treatment pathway for veterans, including Services for Outpatient Addiction Recovery and Substance Abuse Residential Rehabilitation Treatment Program access.",,res-va-salt-lake-addiction-treatment-soar-sarrtp
Children/Pregnancy,Additional options,Hope Rising Detox & Rehabilitation Southern Utah continuum,"Keep as a further option after establishing the starting routes in Children/Pregnancy: Southern Utah addiction continuum with St. George outpatient/MAT, nearby Hurricane detox, and New Harmony residential/inpatient admissions that can provide temporary clinically indicated treatment lodging.",,res-hope-rising
Children/Pregnancy,Additional options,New Season St. George Metro Treatment Center,"Keep as a further option after establishing the starting routes in Children/Pregnancy: Local opioid treatment program offering methadone, buprenorphine/Suboxone, counseling, IOP, telehealth, withdrawal support, Narcan distribution, and pregnancy methadone pathway evidence.",,res-new-season
Children/Pregnancy,Additional options,Southwest Behavioral Health Center Desert Haven,"Keep as a further option after establishing the starting routes in Children/Pregnancy: Residential support facility for adult women in substance-use treatment and their young children, linked to SBHC St. George day treatment.",,res-sbhc-desert-haven
Children/Pregnancy,Additional options,Southwest Behavioral Health Center Washington County outpatient substance-use treatment,"Keep as a further option after establishing the starting routes in Children/Pregnancy: Public local-authority outpatient substance-use provider for Washington County and southwest Utah, with special consideration for pregnant women and women with dependent children.",,res-sbhc-outpatient
Children/Pregnancy,Important specialized help,University of Utah Health SUPeRAD Clinic,"Review for this particular program or eligibility pathway: Specialty pregnancy and substance-use-disorder clinic providing integrated prenatal, addiction, counseling, inpatient/outpatient, and postpartum care through one year.",,res-superad
Children/Pregnancy,Important specialized help,ABS Kids St. George ABA Therapy and Autism Diagnosis Services,"Review for this particular program or eligibility pathway: St. George autism diagnosis and ABA provider offering in-home ABA, center-based ABA, and autism diagnostic services for children in Washington County.",,res-abs-kids-st-george-aba
Children/Pregnancy,Important specialized help,Assistance League of Southern Utah Operation School Bell,Review for this particular program or eligibility pathway: School-counselor-routed Operation School Bell clothing assistance for financially disadvantaged Southern Utah schoolchildren.,,res-assistance-league-southern-utah-school-bell
Children/Pregnancy,Important specialized help,Big Brothers Big Sisters of Utah St. George community-based mentoring,"Review for this particular program or eligibility pathway: Community-based one-to-one youth mentoring through Big Brothers Big Sisters of Utah, with child enrollment listed for St. George.",,res-bbbsu-st-george-mentoring
Children/Pregnancy,Important specialized help,Boys & Girls Clubs of Utah County/Southern Utah Washington County school-site programs,"Review for this particular program or eligibility pathway: Boys & Girls Clubs of Utah County/Southern Utah school-site afterschool and summer programs at Washington County elementary schools, with homework support, enrichment, financial assistance, and snacks/meals at enrolled sites.",,res-bgcutah-washington-county
Children/Pregnancy,Additional options,BREATHE CARE Food and Essential Supplies Intake,"Keep as a further option after establishing the starting routes in Children/Pregnancy: Santa Clara resource center offering food, diapers, toiletries, cleaning supplies, paper goods, and other essential household supplies for Washington County households, including people experiencing homelessness who can complete….",,res-breathe-care-essential-supplies
Children/Pregnancy,Important specialized help,Bridgeway Integrated Healthcare Services St. George Center,"Review for this particular program or eligibility pathway: St. George child, adolescent, adult, autism, ABA, psychological evaluation, family counseling, day-treatment, and behavioral-health services provider.",,res-bridgeway-st-george-children
Children/Pregnancy,Additional options,Bright Morning Star Day Care St. George childcare accepting DWS subsidies,Keep as a further option after establishing the starting routes in Children/Pregnancy: St. George childcare provider identified by Utah DHHS as accepting DWS child-care subsidies and having Spanish-language access.,,res-bright-morning-star-day-care
Children/Pregnancy,Start here,Care About Childcare - Five County Child Care Resource Agency,Establish child-care navigation before reviewing individual providers; it can clarify subsidy participation and openings.,,res-care-about-childcare-five-county
Children/Pregnancy,Important specialized help,Cherish Families wraparound support for families from polygamous and high-control backgrounds,"Review for this particular program or eligibility pathway: Free, confidential wraparound support for individuals and families from polygamous or high-control backgrounds, including crisis, counseling, safety planning, protective-order help, basic needs, rental assistance, housing….",,res-cherish-families-wraparound
Children/Pregnancy,Start here,Children's Service Society of Utah GRANDfamilies - Washington County/St. George,Review kinship-family support early; relatives raising children have needs not covered by ordinary parenting referrals.,,res-css-grandfamilies-st-george
Children/Pregnancy,Additional options,"Chrysalis Utah St. George disability, behavioral-health, residential, and employment supports","Keep as a further option after establishing the starting routes in Children/Pregnancy: St. George intellectual-disability, autism, behavioral-health, residential, supported-living, employment, and authorized psychotherapy/support provider.",,res-chrysalis-st-george
Children/Pregnancy,Important specialized help,Comunidad Materna en Utah Semillas para la Maternidad,"Review for this particular program or eligibility pathway: Free bilingual Spanish/English perinatal support program offering prenatal education, virtual childbirth classes, Spanish lactation support, individual accompaniment, and resource connection.",,res-comunidad-materna-semillas
Children/Pregnancy,Important specialized help,"Disability Law Center Utah disability-rights, housing-access, CAP, and abuse/neglect legal advocacy","Review for this particular program or eligibility pathway: Utah's statewide Protection and Advocacy organization providing free disability-rights information, advocacy, intake, Client Assistance Program help, supported decision-making resources, housing-access advocacy, and….",,res-disability-law-center-utah
Children/Pregnancy,Important specialized help,"Doctors' Volunteer Clinic of St. George safety-net medical, dental, specialty, mental-health, and forensic-exam access","Review for this particular program or eligibility pathway: Safety-net St. George clinic providing uninsured low-income patients with non-urgent and semi-urgent medical care, dental care, mental-health care, specialty clinics, women's-health care, and police-listed medical-forensic exam….",,res-doctors-volunteer-clinic
Children/Pregnancy,Start here,DOVE Center domestic-violence and sexual-assault services,"Establish the local survivor-support intake early, with safe contact procedures and the distinction between advocacy and clinical care.",,res-dove-center-family-services
Children/Pregnancy,Important specialized help,DOVE Center survivor shelter and housing pathway,"Review for this particular program or eligibility pathway: DOVE Center survivor shelter and housing pathway, including confidential safe shelter access, transitional individual and family housing evidence, Community Housing Initiative/Erin's House history, Kristy Suites reporting, and….",,res-dove-center-transitional-housing
Children/Pregnancy,Start here,"Family Healthcare integrated medical, dental, vision, pharmacy, reproductive, behavioral-health, and forensic-exam access",Establish this local integrated care entry point and its payment/eligibility routes before reviewing narrower clinic alternatives.,,res-family-healthcare-women-children-integrated-care
Children/Pregnancy,Start here,"Family Support Center of Washington County crisis nursery, crisis shelter care, respite, and parenting education",Review the crisis nursery and respite entry point early because it addresses immediate family safety and caregiver strain.,,res-family-support-center-washington-county-crisis-respite-parenting
Children/Pregnancy,Important specialized help,Five County AOG Community Action Partnership diaper and family stabilization assistance,Review for this particular program or eligibility pathway: Community Action agency for Washington and surrounding counties offering free diaper assistance to qualifying families and related low-income household stabilization/referral supports.,,res-five-county-cap-diaper-family-support
Children/Pregnancy,Additional options,Forever Bound Adoption expectant-parent options counseling and support,"Keep as a further option after establishing the starting routes in Children/Pregnancy: Utah-licensed nonprofit adoption agency offering expectant-parent adoption/options counseling, practical support, and birth-parent services statewide, with remote access for St. George families.",,res-forever-bound-adoption-options-counseling
Children/Pregnancy,Important specialized help,Forever Ours Foundation pregnancy and infant loss support,"Review for this particular program or eligibility pathway: Statewide pregnancy and infant loss support through call/text support, peer support groups, hospital companioning, resources, memorial events, and keepsakes.",,res-forever-ours-pregnancy-infant-loss-support
Children/Pregnancy,Important specialized help,FourPoints Health St. George and Shivwits community clinics,"Review for this particular program or eligibility pathway: FourPoints Health St. George and Shivwits community clinics offering primary/urgent care, behavioral health, lab testing, immunizations, screenings, women's health services, case management, enrollment help, and sliding-fee….",,res-fourpoints-st-george-family-health
Children/Pregnancy,Start here,Help Me Grow Utah developmental screening and parent support,Establish the developmental screening and family navigation route before moving to condition-specific services.,,res-help-me-grow-utah-developmental-parent-support
Children/Pregnancy,Important specialized help,Intermountain Health St. George Regional Hospital childbirth education and birth preparation,"Review for this particular program or eligibility pathway: Intermountain St. George birth-preparation pathway for childbirth education, breastfeeding, newborn/postpartum education, and related class registration.",,res-intermountain-stgeorge-childbirth-education
Children/Pregnancy,Important specialized help,Intermountain Health St. George Regional Hospital High-risk OB and Maternal Fetal Medicine,Review for this particular program or eligibility pathway: Hospital-based high-risk OB and maternal-fetal medicine specialty pregnancy care in St. George for pregnancies needing closer monitoring or fetal/maternal specialty support.,,res-intermountain-stgeorge-high-risk-ob-mfm
Children/Pregnancy,Important specialized help,Intermountain Health St. George Regional Hospital Lactation Clinic,Review for this particular program or eligibility pathway: Outpatient hospital lactation clinic providing breastfeeding support from certified lactation consultants for parents and babies in the St. George region.,,res-intermountain-stgeorge-lactation-clinic
Children/Pregnancy,Important specialized help,Intermountain Health St. George Regional Hospital NICU,Review for this particular program or eligibility pathway: Hospital neonatal intensive care unit for newborns in St. George who need specialized inpatient neonatal care after birth or transfer.,,res-intermountain-stgeorge-nicu
Children/Pregnancy,Important specialized help,Intermountain Health St. George Regional Hospital Pediatric Physical Medicine and Rehab,"Review for this particular program or eligibility pathway: Pediatric rehabilitation clinic offering evaluation and therapy for children from birth through age 18, including physical, occupational, speech-language, feeding, audiology, dietetics, social work, and related pediatric rehab….",,res-intermountain-stgeorge-pediatric-rehab
Children/Pregnancy,Start here,Intermountain Health St. George Women's Health OB-GYN Clinic,Establish a local prenatal/OB intake route and confirm payer acceptance and appointment availability.,,res-intermountain-stgeorge-womens-health-obgyn
Children/Pregnancy,Important specialized help,Intermountain Health Angel Watch perinatal palliative support,Review for this particular program or eligibility pathway: Free Intermountain Health perinatal palliative support for families whose baby may have a life-threatening or life-limiting condition.,,res-intermountain-angel-watch
Children/Pregnancy,Additional options,Intermountain Health St. George Regional Hospital Simply Birth low-intervention birth program,"Keep as a further option after establishing the starting routes in Children/Pregnancy: Intermountain's low-intervention, unmedicated hospital birth program available at St. George Regional Hospital River Road for lower-risk pregnancies.",,res-intermountain-stgeorge-simply-birth
Children/Pregnancy,Important specialized help,Primary Children's Outpatient Services - St. George,"Review for this particular program or eligibility pathway: Primary Children's/Intermountain pediatric outpatient access on the St. George Regional Hospital campus, with related St. George pediatric specialty clinics listed by Intermountain.",,res-intermountain-primary-childrens-stgeorge-outpatient
Children/Pregnancy,Start here,Intermountain Health St. George Regional Hospital Labor and Delivery / Women and Newborn,"Review the local labor-and-delivery access instructions early, including which concerns require immediate hospital contact.",,res-intermountain-stgeorge-labor-delivery-women-newborn
Children/Pregnancy,Additional options,Kids Corner Day Care St. George child care accepting DWS subsidies,Keep as a further option after establishing the starting routes in Children/Pregnancy: St. George child care provider listed by Utah DHHS as accepting Department of Workforce Services child-care subsidies and having Spanish speakers available.,,res-kids-corner-day-care-dws
Children/Pregnancy,Important specialized help,KONY Coins for Kids Christmas Assistance for Washington County children,"Review for this particular program or eligibility pathway: Seasonal Washington County Christmas assistance program for disadvantaged children ages 2-17, with documentation and referral requirements.",,res-kony-coins-for-kids-christmas-assistance
Children/Pregnancy,Additional options,Kool Kidz World St. George child care accepting DWS subsidies,Keep as a further option after establishing the starting routes in Children/Pregnancy: St. George child care provider listed by Utah DHHS as accepting Department of Workforce Services child-care subsidies and having Spanish speakers available.,,res-kool-kidz-world-dws
